station_name,station_label,distribution,return_period_years,annual_exceedance_probability,return_level
萡子寮潮位站,Boziliao,Gumbel,2,0.5,2.1868483427184424
萡子寮潮位站,Boziliao,Gumbel,5,0.2,2.4039229073965362
萡子寮潮位站,Boziliao,Gumbel,10,0.1,2.547645157494546
萡子寮潮位站,Boziliao,Gumbel,20,0.05,2.6855069903511977
萡子寮潮位站,Boziliao,Gumbel,50,0.02,2.8639549919145724
萡子寮潮位站,Boziliao,Gumbel,100,0.01,2.997676657655142
萡子寮潮位站,Boziliao,GEV,2,0.5,2.261834426617662
萡子寮潮位站,Boziliao,GEV,5,0.2,2.491077686603811
萡子寮潮位站,Boziliao,GEV,10,0.1,2.545619878578654
萡子寮潮位站,Boziliao,GEV,20,0.05,2.5697163206526348
萡子寮潮位站,Boziliao,GEV,50,0.02,2.5830122528331136
萡子寮潮位站,Boziliao,GEV,100,0.01,2.5871675171769257
萡子寮潮位站,Boziliao,Lognormal,2,0.5,2.203725993028574
萡子寮潮位站,Boziliao,Lognormal,5,0.2,2.3700495130806196
萡子寮潮位站,Boziliao,Lognormal,10,0.1,2.461927204699418
萡子寮潮位站,Boziliao,Lognormal,20,0.05,2.540480595780333
萡子寮潮位站,Boziliao,Lognormal,50,0.02,2.6318941391926693
萡子寮潮位站,Boziliao,Lognormal,100,0.01,2.694657168693189
萡子寮潮位站,Boziliao,Pearson Type III,2,0.5,2.212913783096006
萡子寮潮位站,Boziliao,Pearson Type III,5,0.2,2.371234021955166
萡子寮潮位站,Boziliao,Pearson Type III,10,0.1,2.4534207861658146
萡子寮潮位站,Boziliao,Pearson Type III,20,0.05,2.520997648785987
萡子寮潮位站,Boziliao,Pearson Type III,50,0.02,2.5967371856589065
萡子寮潮位站,Boziliao,Pearson Type III,100,0.01,2.6470437683234858
麥寮潮位站,Mailiao,Gumbel,2,0.5,2.5770355926308954
麥寮潮位站,Mailiao,Gumbel,5,0.2,2.7673260318350335
麥寮潮位站,Mailiao,Gumbel,10,0.1,2.893314860305628
麥寮潮位站,Mailiao,Gumbel,20,0.05,3.0141663693835454
麥寮潮位站,Mailiao,Gumbel,50,0.02,3.170596251635992
麥寮潮位站,Mailiao,Gumbel,100,0.01,3.2878184353709514
麥寮潮位站,Mailiao,GEV,2,0.5,2.548870900618491
麥寮潮位站,Mailiao,GEV,5,0.2,2.756565212810113
麥寮潮位站,Mailiao,GEV,10,0.1,2.9292782421987935
麥寮潮位站,Mailiao,GEV,20,0.05,3.1274562456077932
麥寮潮位站,Mailiao,GEV,50,0.02,3.4414781538379833
麥寮潮位站,Mailiao,GEV,100,0.01,3.728263097572553
麥寮潮位站,Mailiao,Lognormal,2,0.5,2.6108032241496844
麥寮潮位站,Mailiao,Lognormal,5,0.2,2.856717952910317
麥寮潮位站,Mailiao,Lognormal,10,0.1,2.99434670847432
麥寮潮位站,Mailiao,Lognormal,20,0.05,3.112987881236342
麥寮潮位站,Mailiao,Lognormal,50,0.02,3.2521500548173705
麥寮潮位站,Mailiao,Lognormal,100,0.01,3.348364824736929
麥寮潮位站,Mailiao,Pearson Type III,2,0.5,2.5232482850056326
麥寮潮位站,Mailiao,Pearson Type III,5,0.2,2.8039975975668376
麥寮潮位站,Mailiao,Pearson Type III,10,0.1,3.0228376121124905
麥寮潮位站,Mailiao,Pearson Type III,20,0.05,3.244420683477794
麥寮潮位站,Mailiao,Pearson Type III,50,0.02,3.539932825739351
麥寮潮位站,Mailiao,Pearson Type III,100,0.01,3.7648091481173855
